"Bucket label","RT","m/z","Name","Formula","IH_Met_Vial12_BLANK01_12_1_11301","IH_Met_Vial57_027_57_1_11328","IH_Met_Vial58_028_58_1_11329","IH_Met_Vial59_029_59_1_11330","IH_Met_Vial60_030_60_1_11331","IH_Met_Vial43_031_43_1_11332","IH_Met_Vial44_032_44_1_11333","IH_Met_Vial45_033_45_1_11334","IH_Met_Vial46_034_46_1_11335","IH_Met_Vial47_035_47_1_11336","IH_Met_Vial48_036_48_1_11337","IH_Met_Vial31_037_31_1_11338","IH_Met_Vial32_038_32_1_11339","IH_Met_Vial33_039_33_1_11340","IH_Met_Vial34_040_34_1_11341","IH_Met_Vial35_041_35_1_11342","IH_Met_Vial36_042_36_1_11343","IH_Met_Vial19_043_19_1_11344","IH_Met_Vial20_044_20_1_11345","IH_Met_Vial21_045_21_1_11346","IH_Met_Vial22_046_22_1_11347","IH_Met_Vial23_047_23_1_11348","IH_Met_Vial24_048_24_1_11349","IH_Met_Vial7_049_7_1_11350","IH_Met_Vial8_050_8_1_11351","IH_Met_Vial9_051_9_1_11352","IH_Met_Vial10_052_10_1_11353","IH_Met_Vial12_BLANK02_12_1_11354"
"Sample",,,,,"BLANK","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","CTRL","CTRL","BLANK"
"672.41700 Da 903.73 s",15.06,673.42428,,,0.0,2374.902587890625,1848.946044921875,0.0,2709.7841796875,2548.268798828125,0.0,1997.5244140625,2123.193359375,2368.93359375,2376.02978515625,2488.540283203125,2414.388671875,2376.52587890625,3018.927001953125,2930.5146484375,2876.32666015625,2730.352783203125,2729.716552734375,3423.6435546875,0.0,2521.25927734375,3768.373779296875,3269.691650390625,0.0,0.0,0.0,3473.88232421875
"398.21799 Da 906.18 s",15.10,399.22527,,,0.0,0.0,0.0,5788.58984375,0.0,0.0,4477.53466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4466.2431640625,0.0,0.0,0.0,3911.720947265625,4879.77685546875,4748.3154296875,0.0
"583.46095 Da 906.36 s",15.11,584.46822,,,4609.513671875,0.0,0.0,24080.125,0.0,0.0,23450.89453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32082.69140625,0.0,0.0,0.0,30998.0234375,32563.83203125,34744.1171875,0.0
"539.43714 Da 907.28 s",15.12,540.44442,,,7466.43408203125,0.0,0.0,37269.73046875,0.0,0.0,36974.9375,0.0,0.0,0.0,209.22152709960938,41.20893859863281,0.0,0.0,118.77784729003906,0.0,0.0,0.0,0.0,0.0,40514.5078125,123.07270812988281,0.0,0.0,40957.31640625,41466.34375,40060.04296875,0.0
"342.22555 Da 906.59 s",15.11,343.23282,,,0.0,0.0,0.0,0.0,0.0,357.72906494140625,0.0,23470.58203125,18369.30078125,7994.5595703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"242.83926 Da 906.61 s",15.11,243.84653,,,0.0,12024.990234375,6801.123046875,0.0,9121.7353515625,11360.375,0.0,78536.984375,12558.2587890625,9979.041015625,9107.724609375,6324.18408203125,82591.40625,10816.6162109375,6385.54736328125,11988.9765625,16177.74609375,11265.84375,76395.328125,5146.2783203125,0.0,77445.4765625,80454.859375,2270.41650390625,0.0,0.0,0.0,6835.28369140625
"318.24103 Da 906.82 s",15.11,336.27351,,,0.0,3894.919921875,56056.43359375,0.0,35614.08984375,59786.25,0.0,56768.3984375,29532.310546875,13686.6171875,3089.140869140625,1410.1170654296875,10634.126953125,26878.5078125,41016.53515625,10434.8046875,1878.9215087890625,6079.62890625,20800.849609375,8089.4375,0.0,19256.60546875,3028.44384765625,6153.0419921875,0.0,0.0,0.0,258.401123046875
"375.25276 Da 906.98 s",15.12,376.26004,,,0.0,393.6073913574219,3827.5185546875,0.0,2783.73388671875,6205.77685546875,0.0,7359.4580078125,2848.4140625,1844.6273193359375,23.11444664001465,0.0,1323.4696044921875,3507.8525390625,6664.79296875,1390.2955322265625,72.3101806640625,573.6953125,1078.6295166015625,1154.189208984375,0.0,467.3839111328125,294.0420837402344,909.8458862304688,0.0,0.0,0.0,0.0
"255.27362 Da 907.20 s",15.12,256.28090,,,0.0,0.0,0.0,4267.91162109375,0.0,0.0,2948.423095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3951.19384765625,0.0,0.0,0.0,3784.67138671875,3967.318603515625,2942.2763671875,0.0
"335.33435 Da 906.67 s",15.11,336.34163,,,0.0,0.0,0.0,19700.021484375,0.0,0.0,32381.40234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42194.5234375,0.0,0.0,0.0,20885.046875,23826.212890625,0.0,0.0
